"ensembl","gene"
"ENSMUSG00000027646","Src"
"ENSMUSG00000030966","Trim21"
"ENSMUSG00000037286","Stag1"
"ENSMUSG00000025862","Stag2"
"ENSMUSG00000020272","Stk10"
"ENSMUSG00000003068","Stk11"
"ENSMUSG00000070837","Aurkc"
"ENSMUSG00000020897","Aurkb"
"ENSMUSG00000027496","Aurka"
"ENSMUSG00000025144","Stra13"
"ENSMUSG00000039231","Suv39h1"
"ENSMUSG00000027855","Sycp1"
"ENSMUSG00000020059","Sycp3"
"ENSMUSG00000011114","Tbrg1"
"ENSMUSG00000025925","Terf1"
"ENSMUSG00000031921","Terf2"
"ENSMUSG00000038482","Tfdp1"
"ENSMUSG00000039994","Timeless"
"ENSMUSG00000031529","Tnks"
"ENSMUSG00000059552","Trp53"
"ENSMUSG00000022510","Trp63"
"ENSMUSG00000029026","Trp73"
"ENSMUSG00000014402","Tsg101"
"ENSMUSG00000015120","Ube2i"
"ENSMUSG00000030061","Uba3"
"ENSMUSG00000031010","Usp9x"
"ENSMUSG00000021115","Vrk1"
"ENSMUSG00000031016","Wee1"
"ENSMUSG00000018654","Ikzf1"
"ENSMUSG00000017499","Cdc6"
"ENSMUSG00000042508","Dmtf1"
"ENSMUSG00000027937","Jtb"
"ENSMUSG00000019794","Katna1"
"ENSMUSG00000001034","Mapk7"
"ENSMUSG00000031478","Nek3"
"ENSMUSG00000021918","Nek4"
"ENSMUSG00000032171","Pin1"
"ENSMUSG00000022456","Sept3"
"ENSMUSG00000041133","Smc1a"
"ENSMUSG00000020694","Tlk2"
"ENSMUSG00000045969","Ing1"
"ENSMUSG00000050996","Cetn1"
"ENSMUSG00000031347","Cetn2"
"ENSMUSG00000024235","Map3k8"
"ENSMUSG00000063358","Mapk1"
"ENSMUSG00000004864","Mapk13"
"ENSMUSG00000063065","Mapk3"
"ENSMUSG00000028282","Casp8ap2"
"ENSMUSG00000057110","Cep110"
"ENSMUSG00000023015","Racgap1"
"ENSMUSG00000032264","Zw10"
"ENSMUSG00000031660","Brd7"
"ENSMUSG00000002297","Dbf4"
"ENSMUSG00000002835","Chaf1a"
"ENSMUSG00000028224","Nbn"
"ENSMUSG00000030330","Ing4"
"ENSMUSG00000021595","Nsun2"
"ENSMUSG00000032534","Cep63"
"ENSMUSG00000022610","Mapk12"
"ENSMUSG00000020415","Pttg1"
"ENSMUSG00000057469","E2f6"
"ENSMUSG00000021959","Lats2"
"ENSMUSG00000042688","Mapk6"
"ENSMUSG00000024068","Spast"
"ENSMUSG00000036928","Stag3"
"ENSMUSG00000029521","Chek2"
"ENSMUSG00000028693","Nasp"
"ENSMUSG00000052087","Rgs14"
"ENSMUSG00000036202","Rif1"
"ENSMUSG00000027331","Knstrn"
"ENSMUSG00000030272","Camk1"
"ENSMUSG00000029176","Anapc4"
"ENSMUSG00000028873","Cdca8"
"ENSMUSG00000058013","Sept11"
"ENSMUSG00000041769","Ppp2r2d"
"ENSMUSG00000024370","Cdc23"
"ENSMUSG00000020185","E2f7"
"ENSMUSG00000019923","Zwint"
"ENSMUSG00000020107","Anapc16"
"ENSMUSG00000041096","Tspyl2"
"ENSMUSG00000025316","Banp"
"ENSMUSG00000032010","Usp2"
"ENSMUSG00000028447","Dctn3"
"ENSMUSG00000067787","Blcap"
"ENSMUSG00000059248","Sept9"
"ENSMUSG00000004771","Rab11a"
"ENSMUSG00000020525","Ppm1d"
"ENSMUSG00000028044","Cks1b"
"ENSMUSG00000002055","Spag5"
"ENSMUSG00000000486","Sept1"
"ENSMUSG00000042903","Foxo4"
"ENSMUSG00000025077","Dclre1a"
"ENSMUSG00000008859","Rala"
"ENSMUSG00000021440","Cts7"
"ENSMUSG00000029910","Mad2l1"
"ENSMUSG00000027510","Rbm38"
"ENSMUSG00000038619","Ensa"
"ENSMUSG00000035086","Becn1"
"ENSMUSG00000015971","Actr8"
"ENSMUSG00000010067","Rassf1"
"ENSMUSG00000029466","Anapc7"
"ENSMUSG00000024944","Arl2"
"ENSMUSG00000038393","Txnip"
"ENSMUSG00000025035","Arl3"
"ENSMUSG00000020235","Fzr1"
"ENSMUSG00000030079","Ruvbl1"
"ENSMUSG00000005699","Pard6a"
"ENSMUSG00000050379","Sept6"
"ENSMUSG00000028351","Brinp1"
"ENSMUSG00000068744","Psrc1"
"ENSMUSG00000006715","Gmnn"
"ENSMUSG00000022089","Bin3"
"ENSMUSG00000044641","Pard6b"
"ENSMUSG00000090083","Rnf8"
"ENSMUSG00000091337","Eid1"
"ENSMUSG00000031906","Smpd3"
"ENSMUSG00000079562","Maea"
"ENSMUSG00000029472","Anapc5"
"ENSMUSG00000007656","Arpp19"
"ENSMUSG00000026749","Nek6"
"ENSMUSG00000060475","Wtap"
"ENSMUSG00000040957","Cables1"
"ENSMUSG00000004451","Ralb"
"ENSMUSG00000015149","Sirt2"
"ENSMUSG00000026646","Suv39h2"
"ENSMUSG00000004085","Zak"
"ENSMUSG00000032397","Tipin"
"ENSMUSG00000020492","Ska2"
"ENSMUSG00000025135","Anapc11"
"ENSMUSG00000030983","Bccip"
"ENSMUSG00000062248","Cks2"
"ENSMUSG00000022018","Rgcc"
"ENSMUSG00000027285","Haus2"
"ENSMUSG00000012429","Mplkip"
"ENSMUSG00000075266","Cenpw"
"ENSMUSG00000024790","Sac3d1"
"ENSMUSG00000066149","Cdc26"
"ENSMUSG00000005233","Spc25"
"ENSMUSG00000036223","Ska1"
"ENSMUSG00000038545","Cul7"
"ENSMUSG00000022978","Mis18a"
"ENSMUSG00000027353","Mcm8"
"ENSMUSG00000021548","Ccnh"
"ENSMUSG00000053119","Chmp3"
"ENSMUSG00000027635","Dsn1"
"ENSMUSG00000026683","Nuf2"
"ENSMUSG00000046010","Zfp830"
"ENSMUSG00000092622","Khdc3"
"ENSMUSG00000031242","2610002M06Rik"
"ENSMUSG00000028066","Pmf1"
"ENSMUSG00000024056","Ndc80"
"ENSMUSG00000031176","Dynlt3"
"ENSMUSG00000026779","Mastl"
"ENSMUSG00000040599","Mis12"
"ENSMUSG00000019773","Fbxo5"
"ENSMUSG00000030105","Arl8b"
"ENSMUSG00000006585","Cdt1"
"ENSMUSG00000022678","Nde1"
"ENSMUSG00000021276","Cinp"
"ENSMUSG00000036782","Klhl13"
"ENSMUSG00000021671","Poc5"
"ENSMUSG00000020074","Ccar1"
"ENSMUSG00000074476","Spc24"
"ENSMUSG00000033323","Ctdp1"
"ENSMUSG00000028549","Itgb3bp"
"ENSMUSG00000024791","Cdca5"
"ENSMUSG00000026753","Ppp6c"
"ENSMUSG00000003039","Fam32a"
"ENSMUSG00000049327","Setd8"
"ENSMUSG00000024286","Ccny"
"ENSMUSG00000032400","Zwilch"
"ENSMUSG00000002635","Pdcd2l"
"ENSMUSG00000034154","Ino80"
"ENSMUSG00000038252","Ncapd2"
"ENSMUSG00000026389","Steap3"
"ENSMUSG00000059586","Nsmce2"
"ENSMUSG00000026039","Sgol2"
"ENSMUSG00000029161","Cgref1"
"ENSMUSG00000001403","Ube2c"
"ENSMUSG00000026426","Arl8a"
"ENSMUSG00000036777","Anln"
"ENSMUSG00000055128","Cgrrf1"
"ENSMUSG00000000355","Mcts1"
"ENSMUSG00000036977","Anapc10"
"ENSMUSG00000035048","Anapc13"
"ENSMUSG00000029004","Kmt2e"
"ENSMUSG00000018821","Avpi1"
"ENSMUSG00000056596","Trnp1"
"ENSMUSG00000044502","Bod1"
"ENSMUSG00000035351","Nup37"
"ENSMUSG00000040034","Nup43"
"ENSMUSG00000073705","Apitd1"
"ENSMUSG00000038416","Cdc16"
"ENSMUSG00000034349","Smc4"
"ENSMUSG00000051378","Kif18b"
"ENSMUSG00000069910","Spdl1"
"ENSMUSG00000030602","Pak4"
"ENSMUSG00000072980","Oip5"
"ENSMUSG00000052525","Spdya"
"ENSMUSG00000022141","Nipbl"
"ENSMUSG00000040250","Asun"
"ENSMUSG00000035469","Rcbtb1"
"ENSMUSG00000033713","Foxn3"
"ENSMUSG00000023932","Cdc5l"
"ENSMUSG00000027550","Lrrcc1"
"ENSMUSG00000029501","Ankle2"
"ENSMUSG00000003824","Syce2"
"ENSMUSG00000027654","Fam83d"
"ENSMUSG00000029003","Mad2l2"
"ENSMUSG00000078762","Haus5"
"ENSMUSG00000031729","Ist1"
"ENSMUSG00000022034","Esco2"
"ENSMUSG00000049680","Urgcp"
"ENSMUSG00000022422","Dscc1"
"ENSMUSG00000027469","Tpx2"
"ENSMUSG00000079614","Seh1l"
"ENSMUSG00000069631","Strada"
"ENSMUSG00000034563","Ccpg1"
"ENSMUSG00000037628","Cdkn3"
"ENSMUSG00000023940","Sgol1"
"ENSMUSG00000048668","Rhno1"
"ENSMUSG00000020516","Rps6kb1"
"ENSMUSG00000058729","Lin9"
"ENSMUSG00000031095","Cul4b"
"ENSMUSG00000028999","Rint1"
"ENSMUSG00000027959","Sass6"
"ENSMUSG00000052062","Pard3b"
"ENSMUSG00000046240","Hepacam"
"ENSMUSG00000040760","Appl1"
"ENSMUSG00000018509","Cenpv"
"ENSMUSG00000046755","Kif2b"
"ENSMUSG00000031371","Haus7"
"ENSMUSG00000037214","Thap1"
"ENSMUSG00000028678","Kif2c"
"ENSMUSG00000030641","4632434I11Rik"
"ENSMUSG00000025480","Syce1"
"ENSMUSG00000024989","Cep55"
"ENSMUSG00000025616","Usp16"
"ENSMUSG00000031787","Katnb1"
"ENSMUSG00000034219","Sept14"
"ENSMUSG00000033444","Specc1l"
"ENSMUSG00000031858","Mau2"
"ENSMUSG00000039296","Spdyb"
"ENSMUSG00000034683","Ppp1r1c"
"ENSMUSG00000030649","Anapc15"
"ENSMUSG00000078938","Syce3"
"ENSMUSG00000040549","Ckap5"
"ENSMUSG00000042029","Ncapg2"
"ENSMUSG00000071533","Pcnp"
"ENSMUSG00000052934","Fbxo31"
"ENSMUSG00000027326","Casc5"
"ENSMUSG00000035439","Haus8"
"ENSMUSG00000033392","Clasp2"
"ENSMUSG00000064302","Clasp1"
"ENSMUSG00000046591","Ticrr"
"ENSMUSG00000030752","Kdm8"
"ENSMUSG00000025269","Apex2"
"ENSMUSG00000022070","Bora"
"ENSMUSG00000024293","Esco1"
"ENSMUSG00000060860","Ube2s"
"ENSMUSG00000035024","Ncapd3"
"ENSMUSG00000033417","Cacul1"
"ENSMUSG00000037725","Ckap2"
"ENSMUSG00000010342","Tex14"
"ENSMUSG00000066357","Wdr6"
"ENSMUSG00000027363","Usp8"
"ENSMUSG00000024576","Csnk1a1"
"ENSMUSG00000056214","Pard6g"
"ENSMUSG00000025812","Pard3"
"ENSMUSG00000039128","Cdc123"
"ENSMUSG00000026965","Anapc2"
"ENSMUSG00000028896","Rcc1"
"ENSMUSG00000034021","Pds5b"
"ENSMUSG00000029166","Mapre3"
"ENSMUSG00000044156","Hepacam2"
"ENSMUSG00000033751","Gadd45gip1"
"ENSMUSG00000045636","Mtus1"
"ENSMUSG00000019917","Sept10"
"ENSMUSG00000020271","Fbxw11"
"ENSMUSG00000014859","E2f4"
"ENSMUSG00000042275","Pelo"
"ENSMUSG00000021483","Cdk20"
"ENSMUSG00000042303","Sgsm3"
"ENSMUSG00000022369","Mtbp"
"ENSMUSG00000036850","Mrpl41"
"ENSMUSG00000006398","Cdc20"
"ENSMUSG00000027306","Nusap1"
"ENSMUSG00000040945","Rcc2"
"ENSMUSG00000048922","Cdca2"
"ENSMUSG00000046179","E2f8"
"ENSMUSG00000024817","Uhrf2"
"ENSMUSG00000036106","Prr5"
"ENSMUSG00000004591","Pkn2"
"ENSMUSG00000031309","Rps6ka3"
"ENSMUSG00000022945","Chaf1b"
"ENSMUSG00000031913","Vps4a"
"ENSMUSG00000022432","Smc1b"
"ENSMUSG00000072845","Tmprss11a"
"ENSMUSG00000035032","Nek11"
"ENSMUSG00000029414","Kntc1"
"ENSMUSG00000053333","Dis3l2"
"ENSMUSG00000039187","Fanci"
"ENSMUSG00000051592","Ccnb3"
"ENSMUSG00000026510","Trp53bp2"
"ENSMUSG00000038822","Hace1"
"ENSMUSG00000034575","Papd7"
"ENSMUSG00000048170","Mcmbp"
"ENSMUSG00000036306","Lzts1"
"ENSMUSG00000032411","Tfdp2"
"ENSMUSG00000034023","Fancd2"
"ENSMUSG00000066440","Zfyve26"
"ENSMUSG00000024277","Mapre2"
"ENSMUSG00000043065","Spice1"
"ENSMUSG00000042129","Rassf4"
"ENSMUSG00000033900","Map9"
"ENSMUSG00000040943","Tet2"
"ENSMUSG00000026361","Cdc73"
"ENSMUSG00000043987","Cep164"
"ENSMUSG00000036779","Papd5"
"ENSMUSG00000019214","Chtf18"
"ENSMUSG00000046691","Chtf8"
"ENSMUSG00000034906","Ncaph"
"ENSMUSG00000037098","Rab11fip3"
"ENSMUSG00000027339","Rassf2"
"ENSMUSG00000020307","Cdc34"
"ENSMUSG00000035486","Plk5"
"ENSMUSG00000020263","Appl2"
"ENSMUSG00000042506","Usp22"
"ENSMUSG00000032782","Cntrob"
"ENSMUSG00000046731","Kctd11"
"ENSMUSG00000020782","Llgl2"
"ENSMUSG00000047534","Mis18bp1"
"ENSMUSG00000034290","Nek9"
"ENSMUSG00000042417","Ccno"
"ENSMUSG00000041408","Wapal"
"ENSMUSG00000037544","Dlgap5"
"ENSMUSG00000022177","Haus4"
"ENSMUSG00000021965","Ska3"
"ENSMUSG00000033055","Ankrd54"
"ENSMUSG00000035828","Pim3"
"ENSMUSG00000041238","Rbbp8"
"ENSMUSG00000033628","Pik3c3"
"ENSMUSG00000024558","Mapk4"
"ENSMUSG00000041840","Haus1"
"ENSMUSG00000024943","Smc5"
"ENSMUSG00000035342","Lzts2"
"ENSMUSG00000026491","Ahctf1"
"ENSMUSG00000026027","Stradb"
"ENSMUSG00000035437","Rabgap1"
"ENSMUSG00000041997","Tlk1"
"ENSMUSG00000038902","Pogz"
"ENSMUSG00000033502","Cdc14a"
"ENSMUSG00000045328","Cenpe"
"ENSMUSG00000040860","Crocc"
"ENSMUSG00000047777","Phf13"
"ENSMUSG00000079555","Haus3"
"ENSMUSG00000035310","Lin54"
"ENSMUSG00000062234","Gak"
"ENSMUSG00000014668","Chfr"
"ENSMUSG00000039130","Zc3hc1"
"ENSMUSG00000038943","Prc1"
"ENSMUSG00000031878","Nae1"
"ENSMUSG00000031723","Txnl4b"
"ENSMUSG00000000743","Chmp1a"
"ENSMUSG00000001833","Sept7"
"ENSMUSG00000032376","Usp3"
"ENSMUSG00000032435","Dync1li1"
"ENSMUSG00000051220","Ercc6l"
"ENSMUSG00000021256","Vash1"
"ENSMUSG00000071350","Setdb2"
"ENSMUSG00000068428","Gmnc"
"ENSMUSG00000022802","Lmln"
"ENSMUSG00000061607","Mdc1"
"ENSMUSG00000011589","Fsd1"
"ENSMUSG00000024795","Kif20b"
"ENSMUSG00000070923","Klhl9"
"ENSMUSG00000018983","E2f2"
"ENSMUSG00000073700","Klhl21"
"ENSMUSG00000016128","Stard13"
"ENSMUSG00000033054","Npat"
"ENSMUSG00000038990","Cables2"
"ENSMUSG00000017639","Rab11fip4"
"ENSMUSG00000041431","Ccnb1"
"ENSMUSG00000023908","Pkmyt1"
"ENSMUSG00000042489","Clspn"
"ENSMUSG00000031314","Taf1"
"ENSMUSG00000044345","Marveld1"
"ENSMUSG00000046550","Spin2c"
"ENSMUSG00000049717","Lig4"
"ENSMUSG00000033364","Usp37"
"ENSMUSG00000065954","Tacc1"
"ENSMUSG00000035842","Ddx11"
"ENSMUSG00000022772","Senp5"
"ENSMUSG00000036672","Cenpt"
"ENSMUSG00000060445","Sycp2"
"ENSMUSG00000020020","Usp44"
"ENSMUSG00000055024","Ep300"
"ENSMUSG00000032064","Dixdc1"
"ENSMUSG00000038344","Txlng"
"ENSMUSG00000062510","Nsl1"
"ENSMUSG00000035390","Brsk1"
"ENSMUSG00000056919","4922501C03Rik"
"ENSMUSG00000043556","Fbxl7"
"ENSMUSG00000074651","Mcidas"
"ENSMUSG00000018362","Kpna2"
"ENSMUSG00000066878","Gm10184"
"ENSMUSG00000069083","Gm10259"
"ENSMUSG00000032254","Kif23"
"ENSMUSG00000030654","Arl6ip1"
"ENSMUSG00000039883","Lrrc17"
"ENSMUSG00000020808","Fam64a"
"ENSMUSG00000035177","Nlrp2"
"ENSMUSG00000037313","Tacc3"
"ENSMUSG00000041064","Pif1"
"ENSMUSG00000021697","Depdc1b"
"ENSMUSG00000027342","Pcna"
"ENSMUSG00000028461","Ccdc107"
"ENSMUSG00000026955","Sapcd2"
"ENSMUSG00000044934","Zfp367"
"ENSMUSG00000020649","Rrm2"
"ENSMUSG00000003778","Brd8"
"ENSMUSG00000035293","G2e3"
"ENSMUSG00000028068","Iqgap3"
"ENSMUSG00000027883","Gpsm2"
"ENSMUSG00000031004","Mki67"
"ENSMUSG00000050192","Eif5a2"
"ENSMUSG00000021594","Srd5a1"
"ENSMUSG00000030866","Ern2"
"ENSMUSG00000022360","Atad2"
"ENSMUSG00000031520","Vegfc"
"ENSMUSG00000024742","Fen1"
"ENSMUSG00000007033","Hspa1l"
"ENSMUSG00000020439","Smtn"
"ENSMUSG00000004642","Slbp"
"ENSMUSG00000059811","Atl2"
"ENSMUSG00000032783","Troap"
"ENSMUSG00000048327","Ckap2l"
"ENSMUSG00000038379","Ttk"
"ENSMUSG00000022881","Rfc4"
"ENSMUSG00000004880","Lbr"
"ENSMUSG00000039396","Neil3"
"ENSMUSG00000022323","Hrsp12"
"ENSMUSG00000030162","Olr1"
"ENSMUSG00000041548","Hspb8"
"ENSMUSG00000054717","Hmgb2"
"ENSMUSG00000042462","Dctpp1"
"ENSMUSG00000022033","Pbk"
"ENSMUSG00000031392","Irak1"
"ENSMUSG00000022322","Shcbp1"
"ENSMUSG00000059486","Kbtbd2"
"ENSMUSG00000033306","Lpp"
"ENSMUSG00000006740","Kif5b"
"ENSMUSG00000028587","Orc1"
"ENSMUSG00000028560","Usp1"
"ENSMUSG00000029551","Psmg3"
"ENSMUSG00000036110","Slc17a2"
"ENSMUSG00000040283","Btnl9"
"ENSMUSG00000031609","Sap30"
"ENSMUSG00000020737","Hn1"
"ENSMUSG00000001131","Timp1"
"ENSMUSG00000033186","Mzt1"
"ENSMUSG00000003282","Plag1"
"ENSMUSG00000055612","Cdca7"
"ENSMUSG00000025746","Il6"
"ENSMUSG00000019997","Ctgf"
"ENSMUSG00000033420","Antxr1"
"ENSMUSG00000024941","Scyl1"
"ENSMUSG00000022951","Rcan1"
"ENSMUSG00000023150","Ivns1abp"
"ENSMUSG00000044626","Liph"
"ENSMUSG00000027242","Wdr76"
"ENSMUSG00000041712","Ubr7"
"ENSMUSG00000026708","Cenpl"
"ENSMUSG00000024087","Cyp1b1"
"ENSMUSG00000017677","Wsb1"
"ENSMUSG00000027358","Bmp2"
"ENSMUSG00000029198","Grpel1"
"ENSMUSG00000059810","Rgs3"
"ENSMUSG00000051695","Pcbp1"
"ENSMUSG00000031551","Ido1"
"ENSMUSG00000038732","Mboat1"
"ENSMUSG00000074802","Gas2l3"
"ENSMUSG00000057367","Birc2"
"ENSMUSG00000027860","Vangl1"
"ENSMUSG00000041498","Kif14"
"ENSMUSG00000040459","Arglu1"
"ENSMUSG00000036752","Tubb4b"
"ENSMUSG00000031821","Gins2"
"ENSMUSG00000031451","Gas6"
"ENSMUSG00000026525","Opn3"
"ENSMUSG00000039783","Kmo"
"ENSMUSG00000005483","Dnajb1"
"ENSMUSG00000031628","Casp3"
"ENSMUSG00000026094","Stk17b"
"ENSMUSG00000062098","Btbd3"
"ENSMUSG00000022960","Donson"
"ENSMUSG00000020493","Prr11"
"ENSMUSG00000010097","Nxf1"
"ENSMUSG00000021952","Xpo4"
"ENSMUSG00000056260","Lrif1"
"ENSMUSG00000032271","Nnmt"
"ENSMUSG00000028759","Hp1bp3"
"ENSMUSG00000078651","Aoc2"
"ENSMUSG00000003541","Ier3"
"ENSMUSG00000029687","Ezh2"
"ENSMUSG00000005124","Wisp1"
"ENSMUSG00000023909","Paqr4"
"ENSMUSG00000023919","Cenpq"
"ENSMUSG00000025986","Slc39a10"
"ENSMUSG00000007646","Rad51c"
"ENSMUSG00000022391","Rangap1"
"ENSMUSG00000061838","Suclg2"
"ENSMUSG00000020687","Cdc27"
"ENSMUSG00000037266","D4Wsu53e"
"ENSMUSG00000024912","Fosl1"
"ENSMUSG00000059970","Hspa2"
"ENSMUSG00000031792","Usb1"
"ENSMUSG00000029591","Ung"
"ENSMUSG00000039748","Exo1"
"ENSMUSG00000017724","Etv4"
"ENSMUSG00000079057","Cyp4v3"
"ENSMUSG00000027478","Dnmt3b"
"ENSMUSG00000078656","Vps25"
"ENSMUSG00000037815","Ctnna1"
"ENSMUSG00000027361","Gabpb1"
"ENSMUSG00000056267","Cep70"
"ENSMUSG00000028109","Hormad1"
"ENSMUSG00000028291","Akirin2"
"ENSMUSG00000073423","Zfp414"
"ENSMUSG00000021569","Trip13"
"ENSMUSG00000026429","Ube2t"
"ENSMUSG00000049354","Dcaf7"
"ENSMUSG00000022580","Rhpn1"
"ENSMUSG00000026104","Stat1"
"ENSMUSG00000020919","Stat5b"
"ENSMUSG00000021109","Hif1a"
"ENSMUSG00000033031","C330027C09Rik"
"ENSMUSG00000038069","Cdkn2aip"
"ENSMUSG00000058672","Tubb2a"
"ENSMUSG00000001785","Pwp1"
"ENSMUSG00000040296","Ddx58"
"ENSMUSG00000005360","Slc1a3"
"ENSMUSG00000021235","Coq6"
"ENSMUSG00000020108","Ddit4"
